"key","value"
"run_id","run_02"
"release_tag","v0.2.0"
"r_version","R version 4.5.3 (2026-03-11)"
"r_platform","aarch64-apple-darwin20"
"os_name","unix"
"sysname","Darwin"
"release","25.2.0"
"machine","arm64"
"timezone","America/Puerto_Rico"
"r_libs_user","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library"
"package_library","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library"
"package_path","/private/tmp/blueterra-clean-repro-6a5e44ca3572/R-library/blueterra"
"package_version","0.2.0"
"terra_version","1.9.27"
"exactextractr_version","0.10.1"
"input_data_root","/Users/ec/Documents/Data/MCE Geomorphometry HW v HY/Geomorphic_Analysis_Project/blueterra/article/data_provenance/results"
