"task","raster_dimensions_cells","layers","metric_request","storage_mode","hardware","available_ram_gb","repetitions","runtime_summary_seconds","peak_memory_summary_mb","peak_memory_method","operating_system","r_version","terra_version"
"prepare","60 x 60 (3600)",1,"prepare_bathy(smooth = TRUE, smooth_window = 3)","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0040; range 0.0020-0.0460","R GC Vcell high-water median 16.43; range 16.33-18.98","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"prepare","240 x 240 (57600)",1,"prepare_bathy(smooth = TRUE, smooth_window = 3)","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0030; range 0.0020-0.0030","R GC Vcell high-water median 16.33; range 16.33-16.34","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"prepare","480 x 480 (230400)",1,"prepare_bathy(smooth = TRUE, smooth_window = 3)","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0050; range 0.0040-0.0050","R GC Vcell high-water median 16.33; range 16.33-16.34","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"metric_small","60 x 60 (3600)",6,"slope, aspect, BPI 3x3/11x11, curvature, surface-area ratio","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0240; range 0.0160-0.0390","R GC Vcell high-water median 17.56; range 17.00-18.11","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"metric_small","240 x 240 (57600)",6,"slope, aspect, BPI 3x3/11x11, curvature, surface-area ratio","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0220; range 0.0220-0.0230","R GC Vcell high-water median 17.00; range 17.00-17.00","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"metric_small","480 x 480 (230400)",6,"slope, aspect, BPI 3x3/11x11, curvature, surface-area ratio","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0400; range 0.0400-0.0410","R GC Vcell high-water median 17.00; range 17.00-17.01","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"metric_multiscale","60 x 60 (3600)",10,"slope, aspect, BPI 3x3/11x11/21x21, VRM 3x3/7x7, curvature, surface-area ratio","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0530; range 0.0510-0.0590","R GC Vcell high-water median 17.46; range 17.42-17.63","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"metric_multiscale","240 x 240 (57600)",10,"slope, aspect, BPI 3x3/11x11/21x21, VRM 3x3/7x7, curvature, surface-area ratio","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0650; range 0.0650-0.0650","R GC Vcell high-water median 17.42; range 17.42-17.42","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"metric_multiscale","480 x 480 (230400)",10,"slope, aspect, BPI 3x3/11x11/21x21, VRM 3x3/7x7, curvature, surface-area ratio","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.1130; range 0.1110-0.1190","R GC Vcell high-water median 17.42; range 17.42-17.42","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
"polygon_summary","240 x 240 (57600)",6,"small metric stack then polygon mean/sd summaries","in-memory SpatRaster; no user-supplied intermediate files","Apple M4 Max",128,3,"median 0.0770; range 0.0650-0.1090","R GC Vcell high-water median 39.41; range 37.36-40.10","R gc(reset = TRUE) Vcell max-used high-water estimate (8 bytes per Vcell); not process RSS","Darwin | 25.2.0 | Darwin Kernel Version 25.2.0: Tue Nov 18 21:09:56 PST 2025; root:xnu-12377.61.12~1/RELEASE_ARM64_T6041","R version 4.5.3 (2026-03-11)","1.9.27"
